library,target,variant_class,EC50_C68_61,sd_EC50_C68_61,n_bc_EC50_C68_61,EC50_C68_183,sd_EC50_C68_183,n_bc_EC50_C68_183,EC50_C68_185,sd_EC50_C68_185,n_bc_EC50_C68_185,EC50_C68_3,sd_EC50_C68_3,n_bc_EC50_C68_3,EC50_C68_10,sd_EC50_C68_10,n_bc_EC50_C68_10,EC50_C68_88,sd_EC50_C68_88,n_bc_EC50_C68_88,EC50_C68_201,sd_EC50_C68_201,n_bc_EC50_C68_201,EC50_C68_239,sd_EC50_C68_239,n_bc_EC50_C68_239,EC50_C68_490,sd_EC50_C68_490,n_bc_EC50_C68_490,expr,delta_expr
lib61_SARSr-wts,AncSarbecovirus_MAP,wildtype,0.27447,0.16098,109,13.44784,0.1797,219,0.5524,0.21062,126,72384.84537,0.2269,219,28968.58934,0.30513,215,3.29104,0.08273,205,18.72963,0.17579,215,5.81211,0.13906,210,0.23747,0.12214,210,10.0621,-0.0889
lib61_SARSr-wts,AncSarbecovirus_alt,wildtype,0.34818,0.19466,56,37.40072,0.22152,110,0.82988,0.20324,76,64417.84494,0.24971,110,88047.27734,0.13862,103,89.98237,0.20136,103,28.55143,0.20148,100,0.52472,0.18903,82,0.23541,0.14566,93,10.161,0.01
lib61_SARSr-wts,AncSarbecovirus_alt1_ins117ins118,wildtype,0.30115,0.18279,61,13.71123,0.18009,135,0.60091,0.21018,73,65244.58888,0.25354,128,30337.65573,0.29047,133,3.45472,0.10839,127,18.62341,0.15727,121,6.0308,0.17119,123,0.24436,0.1387,118,10.1314,-0.0196
lib61_SARSr-wts,AncSarbecovirus_tree1,wildtype,0.27822,0.17847,112,14.70772,0.17785,253,0.60098,0.20961,159,73671.65339,0.20839,255,26497.32355,0.29697,260,7.63269,0.15742,247,18.2448,0.14628,245,6.1016,0.14324,258,0.27535,0.12431,245,10.0299,-0.1211
lib61_SARSr-wts,AncEurAf_alt,wildtype,0.32704,0.18963,120,49.96195,0.2195,246,0.65448,0.249,151,68872.90074,0.23445,241,84411.83028,0.15048,220,82.75866,0.23098,231,17.07778,0.19135,220,0.53548,0.14982,177,0.22514,0.14088,209,10.1942,0.0432
lib61_SARSr-wts,AncEurAf_tree1,wildtype,0.29855,0.18128,115,14.01167,0.18693,231,0.63096,0.22462,131,65668.86884,0.23533,221,24403.16061,0.31042,220,7.10038,0.17199,219,18.37709,0.15503,210,5.83303,0.14392,216,0.24026,0.12282,209,10.151,0
lib61_SARSr-wts,BM48-31,wildtype,82333.38125,0.1805,146,1869.35073,0.36446,171,0.6482,0.22881,111,73919.60716,0.21432,179,90248.3552,0.11798,159,4.29193,0.10538,165,4180.21353,0.35793,155,86570.26449,0.14574,159,0.79666,0.16885,165,10.2394,0.0884
lib61_SARSr-wts,BB9904,wildtype,87768.52154,0.1419,253,66.01999,0.1672,302,0.47753,0.19234,162,74742.17103,0.20094,302,97185.18655,0.04919,285,2.72708,0.09728,284,1618.72699,0.3574,269,89413.74839,0.12527,286,0.94075,0.16178,289,NA,NA
lib61_SARSr-wts,BtKY72,wildtype,0.2797,0.14834,119,8.35881,0.14961,217,0.82359,0.25707,134,75548.1861,0.19148,221,93692.99272,0.08992,224,4.1297,0.09,219,18.77516,0.15003,227,5.36911,0.14143,220,0.23351,0.11774,220,10.0994,-0.0516
lib61_SARSr-wts,PRD-0038,wildtype,0.2441,0.09153,163,5.56393,0.11489,305,0.51855,0.20237,174,74170.79092,0.21951,298,93630.34875,0.08752,291,14.17411,0.17006,288,12.51433,0.13893,288,6.01275,0.12402,288,0.21704,0.104,288,NA,NA
